Alla prossima!|<img src='cf23615a9ac2b20c027197cc4d10d354.png'/>|Until next time!|[sound:b925023334984db6bcc2aa33fc4d961b.mp3]
a domani|<img src='e14501f253066aa53f406bcb38722dc1.png'/>|see you tomorrow|[sound:69dc3d74b0981f9cf52352d723b2e510.mp3]
Buongiorno!|<img src='f0bfb98c0de149c3aed24aee0c5d98de.png'/>|Hello (lit. Good day)!|[sound:54d2b4bba16e459c9da76fca57608e52.mp3]
Buonasera!|<img src='3bbad6270411ef29e93fbd6e7e5ceff3.png'/>|Good evening!|[sound:3f7d6ffcc62e9c32a8f76aa28c755497.mp3]
Io sono Andrea.|<img src='e21b3c2fbfdb472f8f5389f5238a50bc.png'/>|I am Andrea.|[sound:c77de307909aae284c279a5b198cee1b.mp3]
Lei è mia figlia.|<img src='f65b0670f6ccde004be6384dd611c944.png'/>|She is my daughter.|[sound:7585f3bfe19bb78803d6c91adf16a798.mp3]
Lui si chiama Francesco.|<img src='9edd71435d93fa331b94ddd65501a15a.png'/>|He is called Francesco.|[sound:650f434d7c1ccafb27c61ca47728167e.mp3]
Tu parli inglese.|<img src='deee4d161c016805ea061cfdf38dfbb9.png'/>|You speak English.|[sound:ef07ef6503a49c1bba63ed417d7a3494.mp3]
Noi parliamo italiano.|<img src='a83d698eaf4e619853ba39641ef8e34a.png'/>|We speak Italian.|[sound:f62471c30c3fa482d77e9139e2efda71.mp3]
Voi parlate spagnolo.|<img src='17bb2ad551e3f3d915b8e3d6aa03d10f.png'/>|You speak Spanish.|[sound:6a93f9c6a94eac3c49b27c8fe3d9a006.mp3]
Tu come ti chiami?|<img src='f303a41e8752076d16ea5f4aea1e9a50.png'/>|What are you called?|[sound:866f5984d8fba543314878a7c8f6d828.mp3]
Arrivi fino all'incrocio.|<img src='a284e1d36c940e9f147c5907a66adedf.png'/>|You go to the crossroads (lit. arrive at the crossroads).|[sound:6b4e5d1185d3456da8f6566fbe71c468.mp3]
Preferisci il vino rosso o il vino bianco?|<img src='ff90d9f3e804489b94caa02ee3bc3550.png'/>|Do you prefer red or white wine?|[sound:f78020f1dccc4a8881e1eccd92909992.mp3]
Ti piacciono i tortellini?|<img src='36d571b718574a999ce686ef3cae60a3.png'/>|Do you like tortellini?|[sound:06b5004fe201416d8457712b54ac54e6.mp3]
Mi piace cucinare.|<img src='912f3d1194d195e08fdfc54204e7e8dd.png'/>|I like to cook.|[sound:ad0a78e06c364c23b2d00c894d5252be.mp3]
Vorrei un tè caldo.|<img src='947a68f75b0ed99b91da9cb1384a0b21.png'/>|I'd like a hot tea.|[sound:d7622d83d586431abb9afc94712e2668.mp3]
Vorrei due panini caldi.|<img src='4533a28f17594171b80c2016ce1d0019.png'/>|I'd like two warm sandwiches.|[sound:e44ff41f47154e09aed62f4fc6c2f7b1.mp3]
Ma questo caffè è freddo!|<img src='a1ae29d4b7cdf414df49138a57409e99.png'/>|But this coffee is cold!|[sound:4a0bdb0536144f4f849d22c78a10cb15.mp3]
Prendo una pizzetta e un'acqua minerale.|<img src='44f62e9bec1b41418e8982b867cd02c0.png'/>|I'll have a small pizza and a mineral water.|[sound:2b522a9258544c598ac6e2ae55c9ed8d.mp3]
Preferisco il vino rosso.|<img src='9768571ec867178a938af346872c0a48.png'/>|I prefer red wine.|[sound:dd62e4d233a34a5ca262fe25d6566def.mp3]
Cristina non è tedesca.|<img src='c6c4b9d59c52b8c6d630527b3fd58832.png'/>|Cristina is not German.|[sound:674624fc61c3d6e5ed3bb0980fd15182.mp3]
Non parliamo portoghese.|<img src='66bb257b3fc6b66c38ff296bd6535d28.png'/>|We don't speak Portuguese.|[sound:e89b3c9f3c5077bb1ddb98555099a9d9.mp3]
Loro non parlano spagnolo.|<img src='156c5b024a9b466525c390b360725062.png'/>|They don't speak Spanish.|[sound:28850fc31a9a02ce2ec1c68b4f4a5ee3.mp3]
Io non sono Carlo.|<img src='749480edc129fad7849e2a56068b10df.png'/>|I am not Carlo.|[sound:a027c76ef227fe7a8ed3e111cf446040.mp3]
Lei parla tedesco?|<img src='f28744161ccd1edc315358e760482b30.png'/>|Do you speak German?|[sound:ad057e4e46fe152015d4986aead0e3b5.mp3]
Lorenzo e Claudia non parlano portoghese.|<img src='c992d122863fbb0de809972f90b52f43.png'/>|Lorenzo and Claudia don't speak Portuguese.|[sound:f47142385fc60051fea62e365f33b9ff.mp3]
Noi non abitiamo a Londra.|<img src='2ccbe4ad65660f7484c9bf91df1fdc72.png'/>|We don't live in London.|[sound:5461bd6280a12d5c94afc2976c1e18e3.mp3]
La pasta mi piace tantissimo!|<img src='399efbc58caa0f6a98787cfa11892183.png'/>|I like pasta a lot!|[sound:1859f39b7c634f57b026944d5393d8cc.mp3]
Per me una birra grande, per favore.|<img src='31ccfefce5fc013be6fa2b9c66826ad3.png'/>|I'll have (lit. for me) a large beer, please.|[sound:76d8f1cdaa874b9ab9e1ce91b833bcb5.mp3]
Ho una sorella.|<img src='678fb886e71363e86bd45b93e7f8725a.png'/>|I have a sister.|[sound:40686424f39571b336c05a9529e5feb9.mp3]
Voi siete spagnoli?|<img src='2833f99848f9710d4fbf92b7fee4bcd5.png'/>|Are you Spanish?|[sound:0c6ec8a723ba7961ae5371833477af79.mp3]
Voi siete di Bologna?|<img src='f08bdf8a1fa373eb3d7bb0f6257bc6fd.png'/>|Are you (pl., informal) from Bologna?|[sound:6ef57388c60c922cdd294c1a14d81d63.mp3]
Loro sono francesi.|<img src='dfedf4d5b0f877e68104a116b8c336da.png'/>|They are French.|[sound:b63653230ca7f844a376906d19e44514.mp3]
Noi siamo italiani.|<img src='1604515dc9ded58457468b80c63189f9.png'/>|We are Italian.|[sound:e98e2d7eaf485c7d338fe83188407622.mp3]
Tu sei di Roma.|<img src='8d78027dd7e9083bd58e680b0b30b4f7.png'/>|You are from Rome.|[sound:3fd212e5bbcf9f5c56aa0e6886f48d8e.mp3]
Noi siamo di Venezia.|<img src='19beea410fd477b0391bfc25a4d1a99a.png'/>|We are from Venice.|[sound:dcd088ed10d49bb717a0c9ac4c367297.mp3]
Di dove sono loro?|<img src='35bd284426b55a844c924a96e43b43d4.png'/>|Where are they from?|[sound:5a3cb264a05356e708d399ecb511b003.mp3]
Lui è di Milano.|<img src='63cd0f3cdf82e477bea79da972868eb2.png'/>|He is from Milan.|[sound:15211c0f70a23fae766649cbbc960da7.mp3]
Io sono di Firenze.|<img src='0f885fd721e64d19938f9c28e9f226bb.png'/>|I am from Florence.|[sound:2dd0b72db049cd02fd81304a59854a65.mp3]
Io sono Cristina.|<img src='51e164a2566b2d7851c795b5f1a6469a.png'/>|I am Cristina.|[sound:ffbaa67c34914017831d9a47ac9d7d99.mp3]
Come si dice in italiano?|<img src='b1779b7d6101df77d09e17136b131524.png'/>|How do you say that in Italian?|[sound:401e5db8dc4f497a9f9086f9efded6a8.mp3]
Cosa significa mare?|<img src='b0e00088a5ddd83137fdece697eff8f8.png'/>|What does mare (sea) mean?|[sound:f9ab7b8d4e6446b0bf4db664ba1e7a33.mp3]
Grazie!|<img src='c50cfa40b15e433d82369780b9b7d893.png'/>|Thank you!|[sound:029f74044fee431eb8bc3054d495cc20.mp3]
Sei la ragazza di Andrea?|<img src='91a5b30e1c185e407617771572d84b3b.png'/>|Are you Andrea's girlfriend?|[sound:bf171e68de324d038db75ca7b760aaef.mp3]
Piacere!|<img src='fa129c15fea63831455b6c82aa7b77a8.png'/>|Pleased to meet you!|[sound:a963b2c2ba816d9cc6c1b27d4797905c.mp3]
Loro abitano a Venezia.|<img src='ad2ad7909adefe3459acbc6a1985a143.png'/>|They live in Venice.|[sound:c68d2d048ce2d6c709d456651a1fc207.mp3]
Tu abiti a Torino.|<img src='3675175dbc33ea28e4cef7f953b685ef.png'/>|You live in Turin.|[sound:72d58b4815c61a109ff9d3a07b000e93.mp3]
Lei abita a Cagliari.|<img src='ab3b6e041c0e4f197f0f6156ec976643.png'/>|She lives in Cagliari.|[sound:8f52c6849336846197df719191de7f65.mp3]
Noi abitiamo a Trieste.|<img src='07eedce716304acf42311ca80137234b.png'/>|We live in Trieste.|[sound:ccf144bb9e4e8ca5325876416bdfcec8.mp3]
Abito a Trieste.|<img src='639de9b7fd19279b3a4af72f6ec99865.png'/>|I live in Trieste.|[sound:2c80d58fa30d705879d5454bfa148b84.mp3]
Dove abiti?|<img src='e9e125600c95de385a8c5436b526a8ba.png'/>|Where do you (sg., informal) live?|[sound:9c290b1c7901f4bbdb71984f02092635.mp3]
Sono di Cefalù.|<img src='d039b448e6b600cf44ea896ad57a543d.png'/>|I am from Cefalù.|[sound:0e8d23e0392a0cd3ea78edee3a41b2d1.mp3]
Voi abitate a Rimini.|<img src='bd20dee3ee7c243dbf5cbee393d5fcda.png'/>|You live in Rimini.|[sound:5a90ea9772883a486375246c309576c9.mp3]
Io abito a Roma.|<img src='e78ace6b6881ceec1d84e7f327526714.png'/>|I live in Rome.|[sound:7cb78cb605ea5c3b7418722407c5a477.mp3]
Mi piace la cucina italiana.|<img src='2128aa3fcf5345059d176e437427a75e.png'/>|I like Italian cuisine.|[sound:2844cd0eff15498095c22e8a7cf2bd4a.mp3]
Poi giri a destra.|<img src='31607c39d2740672ddae465c183b59ed.png'/>|Then you turn right.|[sound:92178634ed194ef984e95d6282465bc5.mp3]
Giro a sinistra?|<img src='3660e50f9403281d95398df7e8fdfe9d.png'/>|Do I turn left?|[sound:6877ec266b554674a38f7ef7c5241cc3.mp3]
